CS?,Spec Name,Spec Type,Attribute Path,Attribute Type,PK?,Idx?,Lcl?,Lnk?,Min,Max,Edit?,NP?,Default,Length,Hidden?,RULE,fr_FR DisplayName
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,EQUIPES/EQUIPE_TRACTION,LOOKUP_TABLE,,yes,,Lkp_NewRef_EquipeTraction,,1,,,,,,,"Equipe Traction"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,EQUIPES/DD_EQUIPE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Equipe"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,EQUIPES/DF_EQUIPE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Equipe"

,SpecCtg_NewRef_Agent,PRIMARY_SPEC,RESIDENCES,GROUPING,,,,,0,50,,,,,,,"Liste de Résidences opérationnelles"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,RESIDENCES/RESIDENCE,LOOKUP_TABLE,,yes,,Lkp_NewRef_Residence,,1,,,,,,,"Résidence opérationnelle"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,RESIDENCES/DD_RESIDENCE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Résidence"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,RESIDENCES/DF_RESIDENCE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Résidence"

,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_LANGUE,GROUPING,,,,,0,50,,,,,,,"Liste de Compétences Langue"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_LANGUE/COMPETENCE_LANGUE,LOOKUP_TABLE,,yes,,Lkp_NewRef_CompetenceLangues,,1,,,,,,,"Compétence Langue"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_LANGUE/DD_COMPETENCE_LANGUE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Compétence Langue"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_LANGUE/DF_COMPETENCE_LANGUE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Compétence Langue"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_TRAIN,GROUPING,,,,,0,50,,,,,,,"Liste de Compétences Train"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_TRAIN/COMPETENCE_TRAIN,LOOKUP_TABLE,,yes,,Lkp_NewRef_CompetenceTrain,,1,,,,,,,"Compétence Train"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_TRAIN/DD_COMPETENCE_TRAIN,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Compétence Train"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_TRAIN/DF_COMPETENCE_TRAIN,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Compétence Train"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_TRACTION,GROUPING,,,,,0,50,,,,,,,"Liste de Compétences Traction"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_TRACTION/COMPETENCE_TRACTION,LOOKUP_TABLE,,yes,,Lkp_NewRef_CompetenceTraction,,1,,,,,,,"Compétence Traction"
